provider_ccn,hospital_name,state_code,city,fiscal_year_begin_date,fiscal_year_end_date,number_of_beds,total_costs,inpatient_total_charges,combined_outpatient_inpatient_total_charges,inpatient_revenue,total_patient_revenue,net_patient_revenue,less_total_operating_expense,net_income_from_service_to_patients
70031,THE GRIFFIN HOSPITAL,CT,DERBY,10/01/2022,09/30/2023,101.0,200394713.0,354057202.0,1062491612.0,356761501.0,1069719576.0,228355124.0,239628665.0,-11273541.0
454156,VOYAGES OF SUGAR LAND BH,TX,SUGAR LAND,02/01/2023,06/30/2023,60.0,4292251.0,10023534.0,10023534.0,10023534.0,10023534.0,1574750.0,4388038.0,-2813288.0
250060,JEFFERSON COUNTY HOSPITAL,MS,FAYETTE,10/01/2022,05/31/2023,12.0,4416862.0,5498090.0,12534324.0,4994890.0,12537924.0,4940092.0,4979546.0,-39454.0
180106,THE MEDICAL CENTER OF ALBANY,KY,ALBANY,04/01/2023,09/07/2023,20.0,6525049.0,4889225.0,23510828.0,5870225.0,23395559.0,7049190.0,7614612.0,-565422.0
110189,FANNIN REGIONAL HOSPITAL,GA,BLUE RIDGE,01/01/2023,06/30/2023,50.0,15097965.0,11562336.0,87358408.0,11562336.0,87358409.0,12548970.0,15770001.0,-3221031.0
131302,NORTH CANYON MEDICAL CENTER,ID,GOODING,10/01/2022,09/30/2023,16.0,46820242.0,9135448.0,87615896.0,10757662.0,113313560.0,62088832.0,58833704.0,3255128.0
250097,SOUTHWEST MS REGIONAL MED CENTER,MS,MCCOMB,10/01/2022,09/30/2023,97.0,119761208.0,98916831.0,418609977.0,97547817.0,451328710.0,131962576.0,156778095.0,-24815519.0
490115,TWIN COUNTY REGIONAL HOSPITAL,VA,GALAX,10/01/2022,09/30/2023,141.0,37174621.0,87211936.0,293359331.0,87191332.0,310314574.0,62029935.0,64489758.0,-2459823.0
673071,ENCOMPASS HEALTH REHABILITATION HOSP,TX,KATY,10/01/2022,09/30/2023,60.0,24898495.0,45105217.0,45105217.0,45105217.0,45105217.0,31172814.0,28292061.0,2880753.0
433027,ENCOMPASS HEALTH REHABILITATION HOSP,SD,SIOUX FALLS,10/01/2022,09/30/2023,40.0,16215907.0,33156272.0,33156272.0,33156264.0,33156264.0,17111445.0,17129467.0,-18022.0
514011,HIGHLAND CLARKSBURG HOSPITAL INC,WV,CLARKSBURG,10/01/2022,09/30/2023,,,,,,,,,
10034,COMMUNITY HOSPITAL INC.,AL,TALLASSEE,10/01/2022,09/30/2023,37.0,16080613.0,5641414.0,26703171.0,5800323.0,31731220.0,16272299.0,20291767.0,-4019468.0
123025,REHABILITATION HOSPITAL OF THE PACIF,HI,HONOLULU,10/01/2022,09/30/2023,82.0,43404828.0,73784053.0,81042340.0,73784666.0,83190130.0,46039670.0,49973893.0,-3934223.0
140110,OTTAWA REGIONAL HOSPITAL & HEALTHCAR,IL,OTTAWA,10/01/2022,09/30/2023,89.0,116641890.0,114296120.0,595014034.0,115569908.0,616760205.0,185894470.0,139182630.0,46711840.0
241376,GLACIAL RIDGE HOSPITAL,MN,GLENWOOD,10/01/2022,09/30/2023,19.0,45760605.0,12394258.0,81280613.0,12560616.0,90004419.0,47354876.0,52968044.0,-5613168.0
471301,GIFFORD MEDICAL CENTER,VT,RANDOLPH,10/01/2022,09/30/2023,25.0,50145369.0,16169957.0,107717263.0,14102240.0,121151101.0,50848411.0,74005770.0,-23157359.0
421301,ABBEVILLE AREA MEDICAL CENTER,SC,ABBEVILLE,10/01/2022,09/30/2023,25.0,45553078.0,8966308.0,90800360.0,10107358.0,94385382.0,41364324.0,52754220.0,-11389896.0
490005,WINCHESTER MEDICAL CENTER,VA,WINCHESTER,10/01/2022,09/30/2023,455.0,629691659.0,808165772.0,1674358540.0,812072758.0,1764479291.0,753297567.0,772222324.0,-18924757.0
521348,VERNON MEMORIAL HOSPITAL,WI,VIROQUA,10/01/2022,09/30/2023,18.0,60353433.0,15978649.0,144465217.0,16871112.0,177119577.0,83096068.0,71883551.0,11212517.0
13301,USA CHILDRENS AND WOMENS HOSPITAL,AL,MOBILE,10/01/2022,09/30/2023,245.0,227508806.0,239662217.0,575561193.0,245886672.0,587595833.0,273503514.0,250418856.0,23084658.0
110121,GRADY GENERAL HOSPITAL,GA,CAIRO,10/01/2022,09/30/2023,44.0,26858052.0,17479463.0,83770944.0,17574453.0,87979817.0,30797271.0,30105952.0,691319.0
111331,MITCHELL COUNTY HOSPITAL,GA,CAMILLA,10/01/2022,09/30/2023,25.0,36573787.0,25670852.0,73368004.0,25716634.0,75541723.0,37623239.0,37319596.0,303643.0
170150,SOUTH CENTRAL KS REGIONAL MEDICAL CT,KS,ARKANSAS CITY,01/01/2023,08/25/2023,32.0,15134760.0,4641937.0,33015407.0,4788234.0,35958888.0,13118741.0,16699346.0,-3580605.0
340008,SCOTLAND MEMORIAL HOSPITAL,NC,LAURINBURG,10/01/2022,09/30/2023,104.0,169562501.0,235658193.0,741759934.0,252616252.0,775339292.0,220481034.0,218194333.0,2286701.0
490033,WARREN MEMORIAL HOSPITAL,VA,FRONT ROYAL,10/01/2022,09/30/2023,36.0,94824810.0,44232516.0,229974379.0,46268195.0,240938471.0,106850217.0,102599420.0,4250797.0
673038,MEMORIAL HERMANN REHAB HOSP KATY,TX,KATY,10/01/2022,09/30/2023,35.0,29303431.0,46633116.0,120254373.0,47037527.0,121889596.0,29247666.0,28818180.0,429486.0
30138,WESTERN REGIONAL MEDICAL CENTER,AZ,GOODYEAR,10/01/2022,09/30/2023,38.0,160462166.0,54989043.0,804838683.0,859828044.0,1609677684.0,951165684.0,137364298.0,813801386.0
110038,JOHN D. ARCHBOLD MEMORIAL HOSPITAL,GA,THOMASVILLE,10/01/2022,09/30/2023,199.0,256026130.0,343002203.0,938542211.0,359916817.0,994371726.0,336137075.0,321537645.0,14599430.0
130071,ST. LUKES NAMPA MEDICAL CENTER,ID,NAMPA,10/01/2022,09/30/2023,87.0,184182568.0,221546987.0,578674920.0,243582365.0,652034859.0,237298821.0,236471647.0,827174.0
201312,WALDO COUNTY GENERAL HOSPITAL,ME,BELFAST,10/01/2022,09/30/2023,25.0,100501271.0,32064665.0,215630713.0,37056399.0,242336773.0,127480854.0,126522867.0,957987.0
340068,COLUMBUS REGIONAL HEALTHCARE SYSTEM,NC,WHITEVILLE,10/01/2022,09/30/2023,154.0,92967504.0,113222678.0,391611595.0,115145953.0,399797254.0,112540651.0,110061874.0,2478777.0
421304,EDGEFIELD COUNTY HEALTHCARE,SC,EDGEFIELD,10/01/2022,09/30/2023,25.0,19362054.0,2746452.0,23577359.0,2758293.0,25733359.0,16918999.0,18610997.0,-1691998.0
10021,DALE MEDICAL CENTER,AL,OZARK,10/01/2022,09/30/2023,77.0,33197970.0,21582104.0,136219954.0,22814373.0,136219943.0,33795241.0,39958773.0,-6163532.0
14014,BAYPOINTE BEHAVIORAL HEALTH,AL,MOBILE,10/01/2022,09/30/2023,,,,,,,,,
50169,PIH HEALTH WHITTIER HOSPITAL,CA,WHITTIER,10/01/2022,09/30/2023,405.0,657240779.0,2365693753.0,4903656303.0,2365693754.0,4905344545.0,761333723.0,834282644.0,-72948921.0
50393,PIH HEALTH HOSPITAL - DOWNEY,CA,DOWNEY,10/01/2022,09/30/2023,133.0,163610762.0,665982529.0,1321302143.0,665979426.0,1321302143.0,182242291.0,197949433.0,-15707142.0
110233,SOUTHEASTERN REGIONAL MEDICAL CENTER,GA,NEWNAN,10/01/2022,09/30/2023,50.0,238438870.0,102873284.0,1310678840.0,1411023284.0,2611668708.0,1562940708.0,217915949.0,1345024759.0
200021,MID COAST HOSPITAL,ME,BRUNSWICK,10/01/2022,09/30/2023,93.0,214691727.0,163380874.0,558953287.0,185768881.0,626572489.0,240444271.0,255672744.0,-15228473.0
220084,EMERSON HOSPITAL,MA,CONCORD,10/01/2022,09/30/2023,111.0,340538577.0,174559052.0,742053315.0,167757578.0,904788507.0,336180825.0,367287019.0,-31106194.0
250100,BAPTIST MEM HOSPITAL GOLDEN TRIANGLE,MS,COLUMBUS,10/01/2022,09/30/2023,146.0,187350835.0,347933299.0,1055911139.0,348598647.0,1073138156.0,240261010.0,211288756.0,28972254.0
301303,WEEKS MEDICAL CENTER,NH,LANCASTER,10/01/2022,09/30/2023,25.0,74326800.0,11247811.0,112365653.0,12234280.0,120078118.0,76437388.0,83318048.0,-6880660.0
340024,SAMPSON REGIONAL MEDICAL CENTER,NC,CLINTON,10/01/2022,09/30/2023,67.0,41459300.0,52876402.0,186057031.0,53268001.0,205734951.0,69552413.0,70109316.0,-556903.0
340070,ALAMANCE REGIONAL MEDICAL CENTER,NC,BURLINGTON,10/01/2022,09/30/2023,176.0,258195736.0,409001498.0,1003122326.0,418976348.0,1027838073.0,284333872.0,262201680.0,22132192.0
340142,CARTERET COUNTY GENERAL HOSPITAL COM,NC,MOREHEAD CITY,10/01/2022,09/30/2023,99.0,162066917.0,129472303.0,510984833.0,139086181.0,541716271.0,205519605.0,190907298.0,14612307.0
461310,BLUE MOUNTAIN HOSPITAL,UT,BLANDING,10/01/2022,09/30/2023,11.0,17840237.0,6367855.0,43611821.0,6926129.0,46108841.0,19043262.0,19715184.0,-671922.0
491302,CARILION GILES COMMUNITY HOSPITAL,VA,PEARISBURG,10/01/2022,09/30/2023,25.0,75856770.0,33160248.0,202706396.0,33146443.0,214444865.0,75384991.0,94238821.0,-18853830.0
491304,CARILION ROCKBRIDGE COMMUNITY HOSP,VA,LEXINGTON,10/01/2022,09/30/2023,25.0,53161372.0,41098637.0,222747540.0,41104726.0,232717701.0,65056561.0,65562208.0,-505647.0
70021,WINDHAM COMMUNITY MEMORIAL HOSPITAL,CT,WILLIMANTIC,10/01/2022,09/30/2023,46.0,112801215.0,72056217.0,357537463.0,74380736.0,366278226.0,118430314.0,124122454.0,-5692140.0
100022,JACKSON MEMORIAL,FL,MIAMI,10/01/2022,09/30/2023,1608.0,2225042324.0,4786843301.0,6965606324.0,4786843302.0,6965606323.0,1551114782.0,2889765740.0,-1338650958.0
100087,SARASOTA MEMORIAL HOSPITAL,FL,SARASOTA,10/01/2022,09/30/2023,786.0,1041699733.0,3878178276.0,6511652235.0,3928286812.0,6702720793.0,1247834473.0,1113965048.0,133869425.0
140100,MIDWESTERN REGIONAL MEDICAL CENTER,IL,ZION,10/01/2022,09/30/2023,73.0,197330039.0,84448947.0,909725948.0,1008660947.0,1833937948.0,1154442948.0,199630734.0,954812214.0
190065,BATON ROUGE GENERAL,LA,BATON ROUGE,10/01/2022,09/30/2023,256.0,385964486.0,591297129.0,1441030561.0,591232132.0,1444556160.0,493379410.0,536140561.0,-42761151.0
190111,WILLIS-KNIGHTON HEALTH SYSTEMS,LA,SHREVEPORT,10/01/2022,09/30/2023,674.0,873940754.0,1835405527.0,4022517240.0,1888910217.0,4117125268.0,1077643231.0,910543856.0,167099375.0
201302,LINCOLNHEALTH,ME,BOOTHBAY HARBOR,10/01/2022,09/30/2023,25.0,109003419.0,37991573.0,192911695.0,43354835.0,211262716.0,121598717.0,126627888.0,-5029171.0
220135,FALMOUTH HOSPITAL,MA,FALMOUTH,10/01/2022,09/30/2023,81.0,155153222.0,150641211.0,480567577.0,156883090.0,510882654.0,178599832.0,180988158.0,-2388326.0
250104,JEFF ANDERSON REGIONAL MEDICAL CENTE,MS,MERIDIAN,10/01/2022,09/30/2023,270.0,178208036.0,248337657.0,695275056.0,270100876.0,809813943.0,220427864.0,273160613.0,-52732749.0
251304,TALLAHATCHIE CRITICAL ACCESS HOSPITA,MS,CHARLESTON,10/01/2022,09/30/2023,18.0,33598614.0,21981770.0,38859978.0,22097340.0,43939279.0,36610253.0,37290921.0,-680668.0
301307,MEMORIAL HOSPITAL,NH,NORTH CONWAY,10/01/2022,09/30/2023,25.0,86538789.0,31601704.0,198977391.0,35446392.0,218767537.0,104364118.0,105792188.0,-1428070.0
301310,ANDROSCOGGIN VALLEY HOSPITAL,NH,BERLIN,10/01/2022,09/30/2023,25.0,66891992.0,18320807.0,105120581.0,18320807.0,119829970.0,90373134.0,83743498.0,6629636.0
380005,ASHLAND COMMUNITY HOSPITAL,OR,ASHLAND,10/01/2022,09/30/2023,41.0,57970078.0,66289117.0,185088637.0,67014760.0,198676054.0,66320812.0,67555408.0,-1234596.0
470012,SOUTHWESTERN VERMONT MEDICAL CENTER,VT,BENNINGTON,10/01/2022,09/30/2023,53.0,151325161.0,78239835.0,400570898.0,86081016.0,459782991.0,155588663.0,204148886.0,-48560223.0
521343,STOUGHTON HOSPITAL ASSOCIATION,WI,STOUGHTON,10/01/2022,09/30/2023,20.0,42870938.0,17518315.0,141943807.0,18193963.0,171911992.0,64921073.0,57619755.0,7301318.0
521347,WESTERN WISCONSIN HEALTH,WI,BALDWIN,10/01/2022,09/30/2023,25.0,57625445.0,11572215.0,99441174.0,12262742.0,107562929.0,66486015.0,63873148.0,2612867.0
40119,WHITE RIVER MEDICAL CENTER,AR,BATESVILLE,10/01/2022,09/30/2023,170.0,170081344.0,255138357.0,642705759.0,256919122.0,674633296.0,256504867.0,278273472.0,-21768605.0
41332,UNITY HEALTH - NEWPORT,AR,NEWPORT,10/01/2022,09/30/2023,24.0,26565303.0,29594049.0,74345728.0,30507384.0,82970738.0,28690166.0,26915407.0,1774759.0
100051,ORLANDO HEALTH SOUTH LAKE HOSPITAL,FL,CLERMONT,10/01/2022,09/30/2023,172.0,268632276.0,1431100812.0,2738099765.0,1417408151.0,2738799201.0,362339122.0,336224499.0,26114623.0
101311,MADISON MEMORIAL HOSPITAL,FL,MADISON,10/01/2022,09/30/2023,25.0,14112498.0,5335666.0,18563404.0,5583935.0,20214283.0,11373408.0,15135325.0,-3761917.0
110001,HAMILTON MEDICAL CENTER,GA,DALTON,10/01/2022,09/30/2023,239.0,287848706.0,640978292.0,1589463054.0,657260625.0,1625292109.0,373972455.0,358748334.0,15224121.0
110005,NORTHSIDE HOSPITAL FORSYTH,GA,CUMMING,10/01/2022,09/30/2023,376.0,629680285.0,1508094570.0,3306199779.0,1530637301.0,3592925375.0,722920827.0,750530749.0,-27609922.0
110008,NORTHSIDE HOSPITAL-CHEROKEE  INC.,GA,CANTON,10/01/2022,09/30/2023,325.0,551029092.0,1333221966.0,3120250132.0,1356925252.0,3425163802.0,683240763.0,700131273.0,-16890510.0
110029,NORTHEAST GEORGIA MEDICAL CENTER,GA,GAINESVILLE,10/01/2022,09/30/2023,657.0,1271254999.0,3744856644.0,7372946285.0,3748401469.0,7389363761.0,1726540288.0,1566181162.0,160359126.0
110032,STEPHENS COUNTY HOSPITAL,GA,TOCCOA,10/01/2022,09/30/2023,40.0,40769235.0,24187524.0,101681517.0,23951486.0,109908589.0,41944645.0,49535509.0,-7590864.0
110045,NGMC BARROW,GA,WINDER,10/01/2022,09/30/2023,38.0,51696463.0,56681390.0,290159966.0,56746740.0,290556365.0,52122873.0,51910736.0,212137.0
110087,NORTHSIDE HOSPITAL - GWINNETT,GA,LAWRENCEVILLE,10/01/2022,09/30/2023,440.0,975277486.0,2414658843.0,5363808550.0,2414650586.0,5784830257.0,1195004296.0,1264781238.0,-69776942.0
110092,DODGE COUNTY HOSPITAL,GA,EASTMAN,10/01/2022,09/30/2023,41.0,23338719.0,15825264.0,81671129.0,18317042.0,83770714.0,22610982.0,25811364.0,-3200382.0
110095,TIFT REGIONAL MEDICAL CENTER,GA,TIFTON,10/01/2022,09/30/2023,181.0,302607350.0,418613822.0,1252784941.0,460244081.0,1417796515.0,389156264.0,426090495.0,-36934231.0
